id,Name,Nationality,Club,Score,International_reputation
113,D. Alli,United Kingdom,Tottenham Hotspur,84,3
114,L. Hernández,France,FC Bayern München,84,3
115,Arthur,Brazil,FC Barcelona,84,2
116,M. Depay,Netherlands,Olympique Lyonnais,84,3
117,L. Goretzka,Germany,FC Bayern München,84,3
118,J. Brandt,Germany,Borussia Dortmund,84,2
119,K. Coman,France,FC Bayern München,84,2
120,S. Gnabry,Germany,FC Bayern München,84,2
121,N. Fekir,France,Real Betis,84,3
122,B. Leno,Germany,Arsenal,84,3
123,Luis Alberto,Spain,Lazio,84,2
124,Alex Telles,Brazil,FC Porto,84,3
125,J. Pavlenka,Czech Republic,SV Werder Bremen,84,1
126,S. de Vrij,Netherlands,Inter,84,3
127,Felipe Anderson,Brazil,West Ham United,84,3
128,Pepe,Portugal,FC Porto,84,4
129,João Moutinho,Portugal,Wolverhampton Wanderers,84,3
130,S. Ruffier,France,AS Saint-Étienne,84,3
131,S. Sirigu,Italy,Torino,84,3
132,M. Hamšík,Slovakia,Dalian YiFang FC,84,3
133,Sokratis,Greece,Arsenal,84,3
134,Lucas Leiva,Brazil,Lazio,84,3
135,M. Özil,Germany,Arsenal,84,4
136,Javi Martínez,Spain,FC Bayern München,84,3
137,Y. Sommer,Switzerland,Borussia Mönchengladbach,84,3
138,E. Džeko,Bosnia and Herzegovina,Roma,84,3
139,G. Wijnaldum,Netherlands,Liverpool,84,3
140,I. Perišić,Croatia,FC Bayern München,84,3
141,M. Mandžukić,Croatia,Juventus,84,3
142,A. Vidal,Chile,FC Barcelona,84,4
143,J. Boateng,Germany,FC Bayern München,84,4
144,Azpilicueta,Spain,Chelsea,84,3
145,José Callejón,Spain,Napoli,84,3
146,I. Gündoğan,Germany,Manchester City,84,3
147,Paulinho,Brazil,Guangzhou Evergrande Taobao FC,84,3
148,K. Walker,United Kingdom,Manchester City,84,3
149,Canales,Spain,Real Betis,84,2
150,Douglas Costa,Brazil,Juventus,84,3
151,Pizzi,Portugal,SL Benfica,84,3
152,D. Tadić,Serbia,Ajax,84,3
153,J. Iličić,Slovenia,Atalanta,84,3
154,R. Mahrez,Algeria,Manchester City,84,3
155,E. Višća,Bosnia and Herzegovina,Medipol Başakşehir FK,84,2
156,Felipe,Brazil,Atlético Madrid,84,3
157,Fabián,Spain,Napoli,83,1
158,A. Romagnoli,Italy,Milan,83,2
159,G. Lo Celso,Argentina,Tottenham Hotspur,83,1
160,T. Alexander-Arnold,United Kingdom,Liverpool,83,1
161,L. Jović,Serbia,Real Madrid,83,1
162,A. Milik,Poland,Napoli,83,3
163,A. Martial,France,Manchester United,83,3
164,Anderson Talisca,Brazil,Guangzhou Evergrande Taobao FC,83,2
165,J. Tah,Germany,Bayer 04 Leverkusen,83,2
166,C. Tolisso,France,FC Bayern München,83,2
167,Pau López,Spain,Roma,83,1
168,Gonçalo Guedes,Portugal,Valencia CF,83,2
169,N. Pépé,Cote d'Ivoire,Arsenal,83,1
170,M. Akanji,Switzerland,Borussia Dortmund,83,2
171,M. Rashford,United Kingdom,Manchester United,83,2
172,J. Stones,United Kingdom,Manchester City,83,2
173,A. Rabiot,France,Juventus,83,2
174,Grimaldo,Spain,SL Benfica,83,3
175,T. Werner,Germany,RB Leipzig,83,3
176,T. Lemar,France,Atlético Madrid,83,3
177,D. Sánchez,Colombia,Tottenham Hotspur,83,2
178,Marco Asensio,Spain,Real Madrid,83,3
179,L. Digne,France,Everton,83,2
180,J. Draxler,Germany,Paris Saint-Germain,83,3
181,J. Pickford,United Kingdom,Everton,83,1
182,Y. Carrasco,Belgium,Dalian YiFang FC,83,3
183,Borja Iglesias,Spain,Real Betis,83,1
184,K. Casteels,Belgium,VfL Wolfsburg,83,2
185,W. Zaha,Cote d'Ivoire,Crystal Palace,83,2
186,Paco Alcácer,Spain,Borussia Dortmund,83,2
187,Morata,Spain,Atlético Madrid,83,3
188,S. Haller,France,West Ham United,83,1
189,William Carvalho,Portugal,Real Betis,83,3
190,F. Bernardeschi,Italy,Juventus,83,2
191,D. Djené,Togo,Getafe CF,83,1
192,Oscar,Brazil,Shanghai SIPG FC,83,3
193,K. Trapp,Germany,Eintracht Frankfurt,83,2
194,Bartra,Spain,Real Betis,83,3
195,Pablo Sarabia,Spain,Paris Saint-Germain,83,2
196,J. Cillessen,Netherlands,Valencia CF,83,3
197,Lucas Moura,Brazil,Tottenham Hotspur,83,3
198,F. Thauvin,France,Olympique de Marseille,83,2
199,Jorginho,Italy,Chelsea,83,2
200,G. Buffon,Italy,Juventus,83,4
201,Casillas,Spain,FC Porto,83,4
202,R. Jarstein,Norway,Hertha BSC,83,2
203,V. Kompany,Belgium,RSC Anderlecht,83,4
204,Raúl Albiol,Spain,Villarreal CF,83,3
205,F. Quagliarella,Italy,Sampdoria,83,2
206,K. Schmeichel,Denmark,Leicester City,83,2
207,Falcao,Colombia,AS Monaco,83,3
208,Miranda,Brazil,Jiangsu Suning FC,83,3
209,C. Vela,Mexico,Los Angeles FC,83,3
210,E. Garay,Argentina,Valencia CF,83,3
211,Rui Patrício,Portugal,Wolverhampton Wanderers,83,3
212,R. Nainggolan,Belgium,Cagliari,83,3
213,E. Banega,Argentina,Sevilla FC,83,3
214,Diego Costa,Spain,Atlético Madrid,83,4
215,S. Khedira,Germany,Juventus,83,3
216,David Luiz,Brazil,Arsenal,83,4
217,M. Kruse,Germany,Fenerbahçe SK,83,2
218,J. Henderson,United Kingdom,Liverpool,83,2
219,G. Sigurðsson,Iceland,Everton,83,3
220,A. Ramsey,United Kingdom,Juventus,83,3
221,Illarramendi,Spain,Real Sociedad,83,2
222,D. Blind,Netherlands,Ajax,83,3
223,L. Hrádecký,Finland,Bayer 04 Leverkusen,83,2
224,N. Otamendi,Argentina,Manchester City,83,3
225,J. Cuadrado,Colombia,Juventus,83,3
226,I. Gueye,Senegal,Paris Saint-Germain,83,2
227,K. Kampl,Slovenia,RB Leipzig,83,2
228,Rodrigo,Spain,Valencia CF,83,2
229,C. Aránguiz,Chile,Bayer 04 Leverkusen,83,2
230,W. Ben Yedder,France,AS Monaco,83,2
231,F. Acerbi,Italy,Lazio,83,2
232,Danilo Pereira,Portugal,FC Porto,83,3
233,A. Kramarić,Croatia,TSG 1899 Hoffenheim,83,2
234,Louri Beretta,Brazil,Atlético Mineiro,83,1
235,Josué Chiamulera,Brazil,Grêmio,83,1
236,Ronaldo Cabrais,Brazil,Grêmio,83,1
237,Oyarzabal,Spain,Real Sociedad,82,1
238,L. Bailey,Jamaica,Bayer 04 Leverkusen,82,1
239,Gabriel Jesus,Brazil,Manchester City,82,2
240,M. Kovačić,Croatia,Chelsea,82,3
241,A. Belotti,Italy,Torino,82,3
242,T. Strakosha,Albania,Lazio,82,1
243,N. Keïta,Guinea,Liverpool,82,2
244,L. Torreira,Uruguay,Arsenal,82,2
245,Rúben Neves,Portugal,Wolverhampton Wanderers,82,2
246,P. Kimpembe,France,Paris Saint-Germain,82,2
247,S. Bergwijn,Netherlands,PSV,82,2
248,A. Onana,Cameroon,Ajax,82,2
249,Nélson Semedo,Portugal,FC Barcelona,82,2
250,A. Areola,France,Paris Saint-Germain,82,2
251,M. Perin,Italy,Juventus,82,2
252,D. Rugani,Italy,Juventus,82,2
253,A. Correa,Argentina,Atlético Madrid,82,1
254,Iñaki Williams,Spain,Athletic Club de Bilbao,82,2
255,H. Lozano,Mexico,PSV,82,3
256,Gelson Martins,Portugal,AS Monaco,82,3
257,B. Lecomte,France,AS Monaco,82,2
258,T. Partey,Ghana,Atlético Madrid,82,2
259,K. Demirbay,Germany,Bayer 04 Leverkusen,82,2
260,J. Matip,Cameroon,Liverpool,82,2
261,Suso,Spain,Milan,82,3
262,S. Savić,Montenegro,Atlético Madrid,82,2
263,A. Rüdiger,Germany,Chelsea,82,2
264,Pacheco,Spain,Deportivo Alavés,82,1
265,Ricardo Pereira,Portugal,Leicester City,82,3
266,N. Tagliafico,Argentina,Ajax,82,2
267,David Soria,Spain,Getafe CF,82,1
268,Sergio Asenjo,Spain,Villarreal CF,82,2
269,Muniain,Spain,Athletic Club de Bilbao,82,2
270,M. Götze,Germany,Borussia Dortmund,82,4
271,T. Delaney,Denmark,Borussia Dortmund,82,2
272,O. Baumann,Germany,TSG 1899 Hoffenheim,82,2
273,Willian José,Brazil,Real Sociedad,82,2
274,Sergi Roberto,Spain,FC Barcelona,82,3
275,N. Schulz,Germany,Borussia Dortmund,82,1
276,K. Volland,Germany,Bayer 04 Leverkusen,82,2
277,Nacho Fernández,Spain,Real Madrid,82,2
278,Gabriel Paulista,Brazil,Valencia CF,82,2
279,J. Roussillon,France,VfL Wolfsburg,82,2
280,H. Maguire,United Kingdom,Manchester United,82,1
281,T. Hazard,Belgium,Borussia Dortmund,82,2
282,E. Forsberg,Sweden,RB Leipzig,82,2
283,F. Kostić,Serbia,Eintracht Frankfurt,82,2
284,M. Politano,Italy,Inter,82,2
285,Rafa,Portugal,SL Benfica,82,2
286,Pepe Reina,Spain,Milan,82,3
287,D. De Rossi,Italy,Boca Juniors,82,3
288,Aduriz,Spain,Athletic Club de Bilbao,82,3
289,Jesús Navas,Spain,Sevilla FC,82,2
290,Santi Cazorla,Spain,Villarreal CF,82,3
291,H. Herrera,Mexico,Atlético Madrid,82,3
292,L. Biglia,Argentina,Milan,82,3
293,L. Fabiański,Poland,West Ham United,82,2
294,E. Viviano,Italy,Sporting CP,82,2
295,Juan Mata,Spain,Manchester United,82,3
296,O. Giroud,France,Chelsea,82,3
297,S. Kjær,Denmark,Sevilla FC,82,3
298,Willian,Brazil,Chelsea,82,3
299,V. Ćorluka,Croatia,Lokomotiv Moscow,82,3
300,M. Arnautović,Austria,Shanghai SIPG FC,82,3
301,A. Sánchez,Chile,Manchester United,82,4
302,Giuliano,Brazil,Al Nassr,82,2
303,A. Kolarov,Serbia,Roma,82,2
304,M. Balotelli,Italy,Brescia,82,4
305,Marlos,Ukraine,Shakhtar Donetsk,82,2
306,Taison,Brazil,Shakhtar Donetsk,82,2
307,B. Dost,Netherlands,Sporting CP,82,3
308,G. Bonaventura,Italy,Milan,82,3
309,Pedro,Spain,Chelsea,82,3
310,L. de Jong,Netherlands,Sevilla FC,82,2
311,S. El Shaarawy,Italy,Shanghai Greenland Shenhua FC,82,3
312,Ander Herrera,Spain,Paris Saint-Germain,82,3
313,X. Shaqiri,Switzerland,Liverpool,82,3
314,Mário Fernandes,Russia,PFC CSKA Moscow,82,2
315,S. Coates,Uruguay,Sporting CP,82,3
316,C. Bakambu,DR Congo,Beijing Sinobo Guoan FC,82,2
317,T. Meunier,Belgium,Paris Saint-Germain,82,2
318,K. Bellarabi,Germany,Bayer 04 Leverkusen,82,3
319,J. Lingard,United Kingdom,Manchester United,82,2
320,Q. Promes,Netherlands,Ajax,82,2
321,J. Vardy,United Kingdom,Leicester City,82,3
322,D. Zapata,Colombia,Atalanta,82,2
323,Morales,Spain,Levante UD,82,2
324,Raphaelito Anjos,Brazil,Grêmio,82,1
325,Juiano Mestres,Brazil,Cruzeiro,82,1
326,Rosberto Dourado,Brazil,Atlético Mineiro,82,1
327,E. Schetino,Uruguay,Uruguay,82,1
328,J. Sildero,Uruguay,Uruguay,82,1
329,L. Martínez,Argentina,Inter,81,1
330,H. Aouar,France,Olympique Lyonnais,81,1
331,T. Ndombele,France,Tottenham Hotspur,81,1
332,Éder Militão,Brazil,Real Madrid,81,1
333,A. Cragno,Italy,Cagliari,81,1
334,D. van de Beek,Netherlands,Ajax,81,2
335,V. Lindelöf,Sweden,Manchester United,81,2
336,Dani Ceballos,Spain,Arsenal,81,2
337,Pablo Fornals,Spain,West Ham United,81,1
338,E. Can,Germany,Juventus,81,2
339,Gayà,Spain,Valencia CF,81,2
340,David Neres,Brazil,Ajax,81,2
341,P. Zieliński,Poland,Napoli,81,3
342,G. Rulli,Argentina,Montpellier HSC,81,3
343,G. Xhaka,Switzerland,Arsenal,81,3
344,Rafinha,Brazil,FC Barcelona,81,2
345,G. Kondogbia,Central African Republic,Valencia CF,81,2
346,M. Sabitzer,Austria,RB Leipzig,81,2
347,L. Shaw,United Kingdom,Manchester United,81,2
348,J. Martínez,Venezuela,Atlanta United,81,1
349,A. Doucouré,France,Watford,81,2
350,W. Ndidi,Nigeria,Leicester City,81,1
351,T. Horn,Germany,1. FC Köln,81,2
352,W. Orban,Hungary,RB Leipzig,81,2
353,A. Plea,France,Borussia Mönchengladbach,81,2
354,Y. Poulsen,Denmark,RB Leipzig,81,2
355,R. Fraser,United Kingdom,Bournemouth,81,1
356,M. Ginter,Germany,Borussia Mönchengladbach,81,2
357,R. Guerreiro,Portugal,Borussia Dortmund,81,3
358,João Mário,Portugal,Inter,81,3
359,Thiago Mendes,Brazil,Olympique Lyonnais,81,1
360,A. Izzo,Italy,Torino,81,1
361,M. Brozović,Croatia,Inter,81,2
362,A. Ljajić,Serbia,Beşiktaş JK,81,2
363,J. Corona,Mexico,FC Porto,81,3
364,Jordi Masip,Spain,Real Valladolid CF,81,1
365,T. Vaclík,Czech Republic,Sevilla FC,81,1
366,L. Milivojević,Serbia,Crystal Palace,81,1
367,Gerard Moreno,Spain,Villarreal CF,81,1
368,W. Weghorst,Netherlands,VfL Wolfsburg,81,1
369,Quaresma,Portugal,Beşiktaş JK,81,3
370,J. Mathieu,France,Sporting CP,81,3
371,J. Milner,United Kingdom,Liverpool,81,2
372,L. López,Argentina,Racing Club,81,2
373,B. Gomis,France,Al Hilal,81,3
374,M. Dembélé,Belgium,Guangzhou R&F FC,81,3
375,Cesc Fàbregas,Spain,AS Monaco,81,4
376,A. Consigli,Italy,Sassuolo,81,2
377,L. Koscielny,France,FC Girondins de Bordeaux,81,3
378,Jardel,Brazil,SL Benfica,81,2
379,Renato Augusto,Brazil,Beijing Sinobo Guoan FC,81,2
380,José Fonte,Portugal,LOSC Lille,81,3
381,A. Guardado,Mexico,Real Betis,81,3
382,L. Piszczek,Poland,Borussia Dortmund,81,3
383,K. Gameiro,France,Valencia CF,81,3
384,D. Payet,France,Olympique de Marseille,81,3
385,Beñat,Spain,Athletic Club de Bilbao,81,2
386,Adán,Spain,Atlético Madrid,81,2
387,B. Höwedes,Germany,Lokomotiv Moscow,81,3
388,F. Muslera,Uruguay,Galatasaray SK,81,3
389,M. Sissoko,France,Tottenham Hotspur,81,2
390,M. Parolo,Italy,Lazio,81,2
391,Fernando,Brazil,Sevilla FC,81,2
392,N. Gaitán,Argentina,Chicago Fire,81,3
393,S. Giovinco,Italy,Al Hilal,81,2
394,Luiz Gustavo,Brazil,Olympique de Marseille,81,3
395,N. Nkoulou,Cameroon,Torino,81,3
396,N. Matić,Serbia,Manchester United,81,3
397,Marcos Alonso,Spain,Chelsea,81,2
398,H. Mkhitaryan,Armenia,Arsenal,81,3
399,André Almeida,Portugal,SL Benfica,81,2
400,A. Florenzi,Italy,Roma,81,3
401,E. Zahavi,Israel,Guangzhou R&F FC,81,1
402,F. Vázquez,Argentina,Sevilla FC,81,2
403,Lucas Vázquez,Spain,Real Madrid,81,2
404,Dani García,Spain,Athletic Club de Bilbao,81,2
405,M. Acuña,Argentina,Sporting CP,81,2
406,Laure Santeiro,Brazil,Fluminense,81,1
407,J. Frendado,Uruguay,Uruguay,81,1
408,S. Ardero,Uruguay,Uruguay,81,1
409,L. Dálves,Uruguay,Uruguay,81,1
410,S. Mandíquez,Ecuador,Ecuador,81,2
411,João Félix,Portugal,Atlético Madrid,80,1
412,N. Barella,Italy,Inter,80,2
413,J. Gomez,United Kingdom,Liverpool,80,1
414,A. Christensen,Denmark,Chelsea,80,2
415,M. Maignan,France,LOSC Lille,80,1
416,Y. Tielemans,Belgium,Leicester City,80,2
417,Mario Hermoso,Spain,Atlético Madrid,80,1
418,Carlos Soler,Spain,Valencia CF,80,1
419,M. Caldara,Italy,Milan,80,2
420,H. Winks,United Kingdom,Tottenham Hotspur,80,1
421,K. Piątek,Poland,Milan,80,1
422,Diogo Jota,Portugal,Wolverhampton Wanderers,80,2
423,Marcos Llorente,Spain,Atlético Madrid,80,1
424,F. Mendy,France,Real Madrid,80,1
425,Melendo,Spain,RCD Espanyol,80,1
426,Rúben Dias,Portugal,SL Benfica,80,1
427,D. Livaković,Croatia,Dinamo Zagreb,80,1
428,Héctor Bellerín,Spain,Arsenal,80,3
429,B. Mendy,France,Manchester City,80,2
430,M. Dembélé,France,Olympique Lyonnais,80,1
431,O. Vlachodimos,Greece,SL Benfica,80,1
432,Santi Mina,Spain,RC Celta,80,1
433,Rony Lopes,Portugal,Sevilla FC,80,2
434,J. Correa,Argentina,Lazio,80,1
435,T. Bakayoko,France,Chelsea,80,2
436,M. Eggestein,Germany,SV Werder Bremen,80,1
437,Odriozola,Spain,Real Madrid,80,1
438,M. Gómez,Uruguay,Valencia CF,80,1
439,Sergi Darder,Spain,RCD Espanyol,80,2
440,K. Zouma,France,Chelsea,80,2
441,L. Paredes,Argentina,Paris Saint-Germain,80,2
442,N. Aké,Netherlands,Bournemouth,80,1
443,E. Hysaj,Albania,Napoli,80,2
444,André Gomes,Portugal,Everton,80,3
445,K. Baldé,Senegal,AS Monaco,80,2
446,J. Weigl,Germany,Borussia Dortmund,80,3
447,V. Rongier,France,FC Nantes,80,2
448,Yeray,Spain,Athletic Club de Bilbao,80,2
449,Loren,Spain,Real Betis,80,1
450,R. Rodríguez,Switzerland,Milan,80,3
451,A. Oxlade-Chamberlain,United Kingdom,Liverpool,80,2
452,Campaña,Spain,Levante UD,80,1
453,A. Mandi,Algeria,Real Betis,80,1
454,Deulofeu,Spain,Watford,80,3
455,Bernat,Spain,Paris Saint-Germain,80,2
456,E. Andrada,Argentina,Boca Juniors,80,1
457,M. Keane,United Kingdom,Everton,80,2
458,J. Quintero,Colombia,River Plate,80,2
459,Samu Castillejo,Spain,Milan,80,2
460,W. Benítez,Argentina,OGC Nice,80,1
461,A. Rebić,Croatia,Eintracht Frankfurt,80,1
462,E. Bailly,Cote d'Ivoire,Manchester United,80,2
463,M. Almirón,Paraguay,Newcastle United,80,1
464,M. Lazzari,Italy,Lazio,80,1
465,M. Lanzini,Argentina,West Ham United,80,2
466,J. Zoet,Netherlands,PSV,80,2
467,M. Ryan,Australia,Brighton & Hove Albion,80,1
468,Sergi Gómez,Spain,Sevilla FC,80,1
469,H. Vanaken,Belgium,Club Brugge KV,80,1
470,M. Hinteregger,Austria,Eintracht Frankfurt,80,2
471,M. Nastasić,Serbia,FC Schalke 04,80,2
472,Gabriel,Brazil,SL Benfica,80,1
473,C. Wilson,United Kingdom,Bournemouth,80,1
474,J. Guilavogui,France,VfL Wolfsburg,80,2
475,D. Klaassen,Netherlands,SV Werder Bremen,80,2
476,P. Kadeřábek,Czech Republic,TSG 1899 Hoffenheim,80,2
477,C. Kramer,Germany,Borussia Mönchengladbach,80,2
478,Iñigo Martínez,Spain,Athletic Club de Bilbao,80,2
479,Portu,Spain,Real Sociedad,80,1
480,Manu Trigueros,Spain,Villarreal CF,80,2
481,H. Çalhanoğlu,Turkey,Milan,80,3
482,M. Dabbur,Israel,Sevilla FC,80,2
483,M. Halstenberg,Germany,RB Leipzig,80,2
484,M. Vecino,Uruguay,Inter,80,2
485,M. Dúbravka,Slovakia,Newcastle United,80,1
486,M. Dmitrović,Serbia,SD Eibar,80,1
487,Joaquín,Spain,Real Betis,80,2
488,W. Rooney,United Kingdom,DC United,80,4
489,Moyá,Spain,Real Sociedad,80,2
490,Nani,Portugal,Orlando City SC,80,3
491,J. Mascherano,Argentina,Hebei China Fortune FC,80,4
492,Diego López,Spain,RCD Espanyol,80,3
493,I. Akinfeev,Russia,PFC CSKA Moscow,80,3
494,A. Gignac,France,Tigres U.A.N.L.,80,3
495,Jorge Molina,Spain,Getafe CF,80,1
496,B. Costil,France,FC Girondins de Bordeaux,80,2
497,L. Perrin,France,AS Saint-Étienne,80,2
498,B. Foster,United Kingdom,Watford,80,2
499,T. Heaton,United Kingdom,Aston Villa,80,2
500,S. Mandanda,France,Olympique de Marseille,80,3
501,Charles,Brazil,SD Eibar,80,1
502,S. Radu,Romania,Lazio,80,2
503,D. Rose,United Kingdom,Tottenham Hotspur,80,3
504,E. Lamela,Argentina,Tottenham Hotspur,80,2
505,Raúl García,Spain,Athletic Club de Bilbao,80,2
506,Naldo,Brazil,AS Monaco,80,3
507,D. Wass,Denmark,Valencia CF,80,2
508,S. Romero,Argentina,Manchester United,80,3
509,Pedro León,Spain,SD Eibar,80,2
510,I. Piatti,Argentina,Montreal Impact,80,2
511,D. Ospina,Colombia,Napoli,80,2
512,M. Díaz,Chile,Racing Club,80,2
513,M. Valbuena,France,Olympiacos CFP,80,3
514,L. Bender,Germany,Bayer 04 Leverkusen,80,3
515,S. Bender,Germany,Bayer 04 Leverkusen,80,2
516,E. Capoue,France,Watford,80,2
517,Antunes,Portugal,Getafe CF,80,2
518,R. Fährmann,Germany,Norwich City,80,2
519,F. Fazio,Argentina,Roma,80,3
520,M. Hasebe,Japan,Eintracht Frankfurt,80,2
521,Sidnei,Brazil,Real Betis,80,2
522,D. Perotti,Argentina,Roma,80,3
523,L. Pratto,Argentina,River Plate,80,2
524,S. Feghouli,Algeria,Galatasaray SK,80,3
525,K. Trippier,United Kingdom,Atlético Madrid,80,2
526,M. Musacchio,Argentina,Milan,80,3
527,Y. M'Vila,France,AS Saint-Étienne,80,2
528,L. Stindl,Germany,Borussia Mönchengladbach,80,2
529,F. Smolov,Russia,Lokomotiv Moscow,80,1
530,S. Nzonzi,France,Galatasaray SK,80,2
531,F. Coquelin,France,Valencia CF,80,2
532,Hulk,Brazil,Shanghai SIPG FC,80,4
533,K. Strootman,Netherlands,Olympique de Marseille,80,3
534,C. Smalling,United Kingdom,Manchester United,80,3
535,K. Glik,Poland,AS Monaco,80,3
536,E. Salvio,Argentina,Boca Juniors,80,2
537,D. Subašić,Croatia,AS Monaco,80,3
538,K. Vogt,Germany,TSG 1899 Hoffenheim,80,2
539,R. Pereyra,Argentina,Watford,80,2
540,Y. Belhanda,Morocco,Galatasaray SK,80,2
541,Sergi Enrich,Spain,SD Eibar,80,2
